TV#,A,B,C,D,E,Batch Size
1,34%,36%,9%,31%,37%,4
2,35%,38%,27%,37%,43%,8
3,35%,38%,30%,44%,53%,12
4,35%,38%,32%,53%,60%,16
5,35%,44%,36%,55%,63%,20
6,35%,44%,38%,55%,70%,24
7,35%,44%,38%,55%,75%,28
8,35%,44%,43%,56%,76%,32
9,37%,45%,50%,56%,77%,36
10,39%,46%,53%,59%,83%,40
11,39%,48%,54%,59%,84%,44
12,39%,49%,58%,59%,84%,48
13,40%,49%,59%,59%,84%,52
14,40%,50%,59%,59%,85%,56
15,41%,50%,62%,59%,85%,60
16,41%,51%,62%,59%,85%,64
17,41%,51%,62%,59%,85%,68
18,41%,51%,62%,59%,87%,72
19,41%,51%,62%,59%,87%,76
20,41%,51%,62%,59%,87%,80
21,41%,51%,62%,59%,89%,84
22,41%,51%,62%,59%,89%,88
23,41%,51%,62%,59%,89%,92
24,41%,51%,63%,59%,90%,96
25,41%,51%,64%,59%,90%,100
