TV#,A,B,C,D,E,Batch Size
1,30%,33%,6%,29%,18%,2
2,34%,36%,9%,34%,32%,4
3,34%,37%,18%,41%,44%,6
4,35%,38%,27%,47%,53%,8
5,35%,38%,30%,47%,60%,10
6,35%,38%,30%,49%,60%,12
7,35%,38%,30%,50%,64%,14
8,35%,38%,32%,52%,65%,16
9,35%,38%,34%,53%,66%,18
10,35%,44%,36%,53%,67%,20
11,35%,44%,38%,54%,70%,22
12,35%,44%,38%,54%,73%,24
13,35%,44%,38%,55%,76%,26
14,35%,44%,38%,55%,76%,28
15,35%,44%,38%,55%,77%,30
16,35%,44%,43%,55%,79%,32
17,37%,45%,48%,55%,81%,34
18,37%,45%,50%,56%,82%,36
19,38%,45%,50%,56%,82%,38
20,39%,46%,53%,56%,86%,40
21,39%,47%,54%,56%,87%,42
22,39%,48%,54%,57%,88%,44
23,39%,48%,57%,57%,88%,46
24,39%,49%,58%,57%,88%,48
25,39%,49%,58%,57%,88%,50
