TV#,A,B,C,D,E,Batch Size
1,35%,38%,27%,37%,43%,8
2,35%,38%,32%,53%,60%,16
3,35%,44%,38%,55%,70%,24
4,35%,44%,43%,56%,76%,32
5,39%,46%,53%,59%,83%,40
6,39%,49%,58%,59%,84%,48
7,40%,50%,59%,59%,85%,56
8,41%,51%,62%,59%,85%,64
9,41%,51%,62%,59%,87%,72
10,41%,51%,62%,59%,87%,80
11,41%,51%,62%,59%,89%,88
12,41%,51%,63%,59%,90%,96
13,41%,51%,66%,59%,90%,104
14,41%,51%,66%,59%,90%,112
15,42%,52%,67%,60%,90%,120
16,42%,52%,68%,61%,90%,128
17,42%,57%,77%,61%,90%,136
18,42%,57%,77%,61%,90%,144
19,42%,57%,78%,62%,90%,152
20,42%,57%,80%,62%,90%,160
21,42%,58%,83%,62%,90%,168
22,42%,59%,83%,62%,90%,176
23,42%,60%,83%,62%,90%,184
24,42%,60%,83%,62%,91%,192
25,42%,60%,83%,62%,91%,200
