TV#,A,B,C,D,E,Batch Size
1,35%,38%,27%,47%,53%,8
2,35%,38%,32%,52%,65%,16
3,35%,44%,38%,54%,73%,24
4,35%,44%,43%,55%,79%,32
5,39%,46%,53%,56%,86%,40
6,39%,49%,58%,57%,88%,48
7,40%,50%,59%,57%,89%,56
8,41%,51%,62%,57%,89%,64
9,41%,51%,62%,57%,90%,72
10,41%,51%,62%,57%,90%,80
11,41%,51%,62%,57%,90%,88
12,41%,51%,63%,57%,90%,96
13,41%,51%,66%,57%,93%,104
14,41%,51%,66%,57%,93%,112
15,42%,52%,67%,57%,93%,120
16,42%,52%,68%,57%,93%,128
17,42%,57%,77%,59%,93%,136
18,42%,57%,77%,59%,93%,144
19,42%,57%,78%,59%,93%,152
20,42%,57%,80%,59%,93%,160
21,42%,58%,83%,59%,93%,168
22,42%,59%,83%,60%,93%,176
23,42%,60%,83%,60%,93%,184
24,42%,60%,83%,60%,93%,192
25,42%,60%,83%,60%,93%,200
