TV#,A,B,C,D,E,Batch Size
1,16%,23%,5%,23%,10%,1
2,30%,33%,6%,29%,18%,2
3,30%,33%,7%,32%,25%,3
4,34%,36%,9%,34%,32%,4
5,34%,37%,17%,41%,39%,5
6,34%,37%,18%,41%,44%,6
7,34%,37%,18%,43%,51%,7
8,35%,38%,27%,47%,53%,8
9,35%,38%,30%,47%,57%,9
10,35%,38%,30%,47%,60%,10
11,35%,38%,30%,48%,60%,11
12,35%,38%,30%,49%,60%,12
13,35%,38%,30%,49%,61%,13
14,35%,38%,30%,50%,64%,14
15,35%,38%,30%,51%,65%,15
16,35%,38%,32%,52%,65%,16
17,35%,38%,33%,53%,66%,17
18,35%,38%,34%,53%,66%,18
19,35%,38%,35%,53%,66%,19
20,35%,44%,36%,53%,67%,20
21,35%,44%,36%,53%,70%,21
22,35%,44%,38%,54%,70%,22
23,35%,44%,38%,54%,73%,23
24,35%,44%,38%,54%,73%,24
25,35%,44%,38%,55%,76%,25
