TV#,A,B,C,D,E,Batch Size
1,30%,33%,6%,27%,29%,2
2,34%,36%,9%,31%,37%,4
3,34%,37%,18%,37%,39%,6
4,35%,38%,27%,37%,43%,8
5,35%,38%,30%,43%,49%,10
6,35%,38%,30%,44%,53%,12
7,35%,38%,30%,44%,55%,14
8,35%,38%,32%,53%,60%,16
9,35%,38%,34%,54%,62%,18
10,35%,44%,36%,55%,63%,20
11,35%,44%,38%,55%,64%,22
12,35%,44%,38%,55%,70%,24
13,35%,44%,38%,55%,72%,26
14,35%,44%,38%,55%,75%,28
15,35%,44%,38%,55%,75%,30
16,35%,44%,43%,56%,76%,32
17,37%,45%,48%,56%,77%,34
18,37%,45%,50%,56%,77%,36
19,38%,45%,50%,56%,79%,38
20,39%,46%,53%,59%,83%,40
21,39%,47%,54%,59%,83%,42
22,39%,48%,54%,59%,84%,44
23,39%,48%,57%,59%,84%,46
24,39%,49%,58%,59%,84%,48
25,39%,49%,58%,59%,84%,50
