TV#,A,B,C,D,E,Batch Size
1,35%,38%,30%,47%,60%,10
2,35%,44%,36%,53%,67%,20
3,35%,44%,38%,55%,77%,30
4,39%,46%,53%,56%,86%,40
5,39%,49%,58%,57%,88%,50
6,41%,50%,62%,57%,89%,60
7,41%,51%,62%,57%,89%,70
8,41%,51%,62%,57%,90%,80
9,41%,51%,62%,57%,90%,90
10,41%,51%,64%,57%,91%,100
11,41%,51%,66%,57%,93%,110
12,42%,52%,67%,57%,93%,120
13,42%,52%,71%,57%,93%,130
14,42%,57%,77%,59%,93%,140
15,42%,57%,78%,59%,93%,150
16,42%,57%,80%,59%,93%,160
17,42%,58%,83%,59%,93%,170
18,42%,60%,83%,60%,93%,180
19,42%,60%,83%,60%,93%,190
20,42%,60%,83%,60%,93%,200
21,42%,60%,83%,60%,93%,210
22,42%,60%,83%,62%,94%,220
23,42%,60%,85%,62%,94%,230
24,42%,60%,85%,62%,94%,240
25,42%,62%,85%,62%,94%,250
