TV#,A,B,C,D,E,Batch Size
1,35%,38%,30%,43%,49%,10
2,35%,44%,36%,55%,63%,20
3,35%,44%,38%,55%,75%,30
4,39%,46%,53%,59%,83%,40
5,39%,49%,58%,59%,84%,50
6,41%,50%,62%,59%,85%,60
7,41%,51%,62%,59%,86%,70
8,41%,51%,62%,59%,87%,80
9,41%,51%,62%,59%,89%,90
10,41%,51%,64%,59%,90%,100
11,41%,51%,66%,59%,90%,110
12,42%,52%,67%,60%,90%,120
13,42%,52%,71%,61%,90%,130
14,42%,57%,77%,61%,90%,140
15,42%,57%,78%,62%,90%,150
16,42%,57%,80%,62%,90%,160
17,42%,58%,83%,62%,90%,170
18,42%,60%,83%,62%,90%,180
19,42%,60%,83%,62%,90%,190
20,42%,60%,83%,62%,91%,200
21,42%,60%,83%,62%,91%,210
22,42%,60%,83%,62%,91%,220
23,42%,60%,85%,62%,91%,230
24,42%,60%,85%,62%,91%,240
25,42%,62%,85%,62%,91%,250
